,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Rating,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,Population_Estimate,,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density
21,Brewster,9203,4689,4514,44.1,0.182549169,0.329349125,0.110724764,0.134955993,0.24242095,0.490492231,0.509507769,Texas,176,1,175,1912.419863,0.568181818,48043,10,10-Sep,0,1,0,0,0,0,1,0,8496,153,170,160,13,211,0.923177225,0.016625014,0.018472237,0.017385635,0.001412583,0.022927306,7,1,0,0,0,0,0,0,45652,45670,16,86.4,36,3.5,6183.8,65.13,34.87,J,Texas_J_RAC_J,526736,1754,770,48,172,0.003329941,0.001461833,9.11E-05,0.000326539,732,47,19,9203,0.155927415,1435,0.079539281,0.019124199,0.00010866,1.488243475
22,Briscoe,1546,769,777,46.1,0.19534282,0.29301423,0.114489004,0.135834411,0.261319534,0.502587322,0.497412678,Texas,10,1,9,646.8305304,10,48045,1,1,0,1,0,0,0,0,1,0,1438,51,11,4,0,42,0.930142303,0.032988357,0.007115136,0.002587322,0,0.027166882,,0,0,0,0,0,0,0,35243,44409,16.2,77.5,23,4.3,900,0,100,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,141,50,23,1546,0.23156533,358,0.091203105,0.006468305,0.000646831,1.717777778
23,Brooks,7093,3616,3477,35.4,0.274918934,0.333850275,0.093472438,0.113351191,0.184407162,0.490201607,0.509798393,Texas,65,1,64,916.3964472,1.538461538,48047,11,11,0,1,0,0,0,0,1,0,6843,78,52,79,3,38,0.964753983,0.010996757,0.007331172,0.011137741,0.000422952,0.005357395,6,0,1,0,0,0,0,0,33861,30116,31,70.4,14.6,8.2,943.4,68.24,31.76,U,Coastal_Bend_RAC_U,630897,2350,1071,148,167,0.003724855,0.001697583,0.000234587,0.000264702,2134,,,7093,0.136895531,971,0.300860003,0.009163964,0.000140984,7.518549926
24,Brown,37864,18732,19132,41.4,0.215798648,0.323262202,0.119374604,0.137676949,0.203887598,0.505282062,0.494717938,Texas,311,16,295,821.3606592,5.144694534,48049,2,3-Feb,0,1,0,0,0,1,0,0,34986,1544,334,304,32,664,0.923991126,0.04077752,0.008821044,0.008028734,0.00084513,0.017536446,1,0,0,0,0,0,0,1,38830,47097,13.2,85.1,18.5,3.8,944.5,59.6,40.4,D,Big_Country_RAC_D,306972,1643,604,29,79,0.00535228,0.001967606,9.45E-05,0.000257352,5905,261,152,37864,0.145019015,5491,0.155952884,0.008213607,0.000422565,40.08893594
25,Burleson,18443,9104,9339,44,0.217751993,0.293986878,0.120804641,0.157783441,0.209673047,0.506370981,0.493629019,Texas,217,0,217,1176.598167,0,48051,7,7,1,0,0,0,0,0,0,1,15471,2350,209,91,7,315,0.83885485,0.127419617,0.011332213,0.004934121,0.000379548,0.017079651,5,0,0,1,0,0,0,0,42629,53626,14.8,80.4,14.8,4.1,659.1,23.34,76.66,N,Brazos_Valley_RAC_N,360335,533,123,8,42,0.001479179,0.000341349,2.22E-05,0.000116558,2288,87,45,18443,0.153662636,2834,0.124057908,0.011765982,0,27.9820968
26,Burnet,48155,23599,24556,44.8,0.210653099,0.291267781,0.112947773,0.156723082,0.228408265,0.509936663,0.490063337,Texas,395,7,388,820.267885,1.772151899,48053,7,7,0,1,0,0,0,0,1,0,45360,982,584,462,43,724,0.94195826,0.020392483,0.012127505,0.009594019,0.00089295,0.015034784,1,0,0,0,0,0,0,1,46516,56696,11,86.1,23,3.2,994.8,44.33,55.67,O,Capital _Area_Trauma_RAC_O,2375407,5534,563,50,253,0.002329706,0.000237012,2.10E-05,0.000106508,5021,87,45,48155,0.157117641,7566,0.10426747,0.008202679,0.000145364,48.40671492
27,Caldwell,43664,22029,21635,36.5,0.232479846,0.373992305,0.120923415,0.123465555,0.149138879,0.495488274,0.504511726,Texas,993,7,986,2274.184683,0.704934542,48055,7,7,1,0,0,1,0,0,0,0,38795,2874,712,452,47,784,0.888489373,0.065820813,0.016306339,0.010351777,0.001076402,0.017955295,1,0,0,0,0,0,0,1,33668,52588,14.1,79.1,14.7,3.9,545.2,57.71,42.29,O,Capital _Area_Trauma_RAC_O,2375407,5534,563,50,253,0.002329706,0.000237012,2.10E-05,0.000106508,7265,87,45,43664,0.173140344,7560,0.166384207,0.022741847,0.000160315,80.08804109
28,Calhoun,21290,10930,10360,39.1,0.239361202,0.327383748,0.113668389,0.132597464,0.186989197,0.486613434,0.513386566,Texas,393,3,390,1845.93706,0.763358779,48057,8,8,0,1,0,0,0,1,0,0,19012,666,184,1135,12,281,0.893001409,0.031282292,0.008642555,0.053311414,0.000563645,0.013198685,1,0,0,0,0,0,0,1,38668,52085,14.2,80.5,15.4,5.8,506.8,55.27,44.73,S,Golden_Crescent_RAC_S,186672,525,122,17,47,0.00281242,0.000653553,9.11E-05,0.000251779,3078,128,55,21290,0.161108502,3430,0.144574918,0.018459371,0.000140911,42.00868193
29,Callahan,13943,6915,7028,43.6,0.21896292,0.298214158,0.119486481,0.151186976,0.212149466,0.504052213,0.495947787,Texas,38,2,36,272.5381912,5.263157895,48059,2,3-Feb,1,0,0,0,0,0,0,1,13205,237,132,97,13,259,0.947070214,0.016997777,0.009467116,0.006956896,0.000932367,0.018575629,4,0,0,0,0,1,0,0,39392,50330,12,88,14.7,3.7,899.4,27.82,72.18,D,Big_Country_RAC_D,306972,1643,604,29,79,0.00535228,0.001967606,9.45E-05,0.000257352,1690,261,152,13943,0.148102991,2065,0.121207775,0.002725382,0.000143441,15.50255726
30,Cameron,423163,206296,216867,32.3,0.299052611,0.35139887,0.113280225,0.097770835,0.138497458,0.512490459,0.487509541,Texas,7846,169,7677,1854.131859,2.153963803,48061,11,11,1,0,0,0,1,0,0,0,410776,3470,2880,3335,315,2387,0.970727592,0.00820015,0.006805888,0.007881124,0.000744394,0.005640852,1,0,0,0,0,0,0,1,28756,38106,27.9,65.6,16.8,6.9,891.7,91.58,8.42,V,Lower_Rio_Grande_Valley_RAC_V,1385112,3307,949,226,181,0.002387533,0.000685143,0.000163164,0.000130675,106395,,,423163,0.247235699,104621,0.251427937,0.018541319,0.000399373,474.5575866
