SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,181,Texas,Grayson County,12,0,136212,66608,69604,58247,60999,4149,4278,1216,1298,1067,1052,51,66,1878,1911
50,48,183,Texas,Gregg County,12,0,123945,60264,63681,45210,47045,12206,13706,637,591,832,912,78,52,1301,1375
50,48,185,Texas,Grimes County,12,0,28880,15713,13167,12543,10872,2640,1822,166,130,59,54,25,13,280,276
50,48,187,Texas,Guadalupe County,12,0,166847,82545,84302,70314,71729,7608,7133,798,821,1330,1976,189,202,2306,2441
50,48,189,Texas,Hale County,12,0,33406,17410,15996,15493,14629,1225,712,290,293,118,107,28,22,256,233
50,48,191,Texas,Hall County,12,0,2964,1450,1514,1253,1329,145,125,23,23,6,8,1,1,22,28
50,48,193,Texas,Hamilton County,12,0,8461,4231,4230,3987,4024,51,34,92,74,34,39,4,2,63,57
50,48,195,Texas,Hansford County,12,0,5399,2723,2676,2603,2542,32,24,44,52,9,14,2,1,33,43
50,48,197,Texas,Hardeman County,12,0,3933,1986,1947,1761,1777,129,95,26,23,10,12,0,0,60,40
50,48,199,Texas,Hardin County,12,0,57602,28325,29277,25954,26764,1557,1675,187,177,200,228,10,7,417,426
50,48,201,Texas,Harris County,12,0,4713325,2339443,2373882,1655138,1623551,441146,499700,26121,23849,168062,177344,2819,2941,46157,46497
50,48,203,Texas,Harrison County,12,0,66553,32613,33940,24701,25182,6590,7459,418,408,245,268,45,30,614,593
50,48,205,Texas,Hartley County,12,0,5576,3355,2221,2927,2098,353,39,22,22,26,21,1,1,26,40
50,48,207,Texas,Haskell County,12,0,5658,2999,2659,2700,2439,166,105,38,27,32,18,0,0,63,70
50,48,209,Texas,Hays County,12,0,230191,114298,115893,102577,104550,5565,5089,1456,1355,1903,2088,201,123,2596,2688
50,48,211,Texas,Hemphill County,12,0,3819,1905,1914,1816,1811,13,19,27,33,22,27,1,4,26,20
50,48,213,Texas,Henderson County,12,0,82737,40514,42223,36234,38071,2670,2663,411,356,249,309,43,40,907,784
